"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.045372590E-1,5.896902084E-1,-7.796693802E0,6.049242496E0,9.885823363E0
5.069424670E-1,5.825079679E-1,-7.808664322E0,5.970236778E0,9.846739624E0
5.093476760E-1,5.681433678E-1,-7.808664322E0,6.310198784E0,1.005567671E1
5.117525720E-1,5.992666483E-1,-7.803876400E0,5.793073654E0,9.737520719E0
5.141574670E-1,5.825079679E-1,-7.830211163E0,6.286257744E0,1.005825824E1
5.165622590E-1,5.992666483E-1,-7.803876400E0,5.946295738E0,9.829447614E0
5.189677280E-1,5.849020481E-1,-7.815846920E0,5.958266258E0,9.845329364E0
5.213730920E-1,5.849020481E-1,-7.823029041E0,6.224011421E0,1.001400080E1
5.237780920E-1,5.777196884E-1,-7.801481724E0,5.733221531E0,9.698799217E0
5.261837170E-1,5.585669279E-1,-7.827817440E0,6.271893501E0,1.004606246E1
5.285889780E-1,5.585669279E-1,-7.813452244E0,5.891232014E0,9.801461504E0
5.309937700E-1,5.370200872E-1,-7.832605362E0,6.003754616E0,9.883479489E0
5.333987700E-1,5.442023277E-1,-7.823029041E0,6.171341419E0,9.979047774E0
5.358039260E-1,5.418082476E-1,-7.799088001E0,5.718856812E0,9.686312666E0
5.382097590E-1,5.035026073E-1,-7.803876400E0,6.310198784E0,1.004851285E1
5.406151240E-1,5.370200872E-1,-7.777541161E0,5.872078896E0,9.760115145E0
5.430200720E-1,5.442023277E-1,-7.791905880E0,6.089941978E0,9.904410468E0
5.454260090E-1,5.513846874E-1,-7.794299603E0,6.195282459E0,9.971793024E0
5.478313740E-1,5.633550882E-1,-7.789511681E0,5.809832573E0,9.733859240E0
5.502361130E-1,5.418082476E-1,-7.799088001E0,6.307805061E0,1.004528419E1
5.526413740E-1,5.896902084E-1,-7.760782242E0,5.845743656E0,9.733971155E0
5.550468950E-1,5.872961283E-1,-7.777541161E0,6.142611980E0,9.928078625E0
5.574524150E-1,5.896902084E-1,-7.796693802E0,6.140217781E0,9.941752521E0
5.598577280E-1,5.825079679E-1,-7.787117481E0,5.807438374E0,9.731641930E0
5.622629360E-1,5.801137686E-1,-7.815846920E0,6.307805061E0,1.006043735E1
5.646686650E-1,6.040548086E-1,-7.799088001E0,5.785891533E0,9.729706917E0
5.670738220E-1,5.753256083E-1,-7.844575882E0,6.123459339E0,9.968205686E0
5.694787700E-1,5.920842886E-1,-7.830211163E0,6.058818817E0,9.918268806E0
5.718842900E-1,5.585669279E-1,-7.846969604E0,5.826591015E0,9.789590995E0
5.742898110E-1,5.705374479E-1,-7.894851685E0,6.276681900E0,1.010202612E1
5.766953840E-1,5.681433678E-1,-7.846969604E0,5.771526814E0,9.757471016E0
5.791004880E-1,5.298377275E-1,-7.892457962E0,6.192888260E0,1.004606817E1
5.815055920E-1,5.633550882E-1,-7.890063763E0,6.046848297E0,9.956648506E0
5.839115300E-1,5.489904881E-1,-7.894851685E0,5.840955734E0,9.835997030E0
5.863167900E-1,5.585669279E-1,-7.906822205E0,6.233587742E0,1.008401956E1
5.887214260E-1,5.801137686E-1,-7.897245884E0,5.721251011E0,9.769121642E0
5.911266860E-1,5.609610081E-1,-7.909216404E0,6.190494061E0,1.005945317E1
5.935322590E-1,6.136312485E-1,-7.887670040E0,5.991784096E0,9.924382027E0
5.959383530E-1,5.992666483E-1,-7.911610603E0,5.905596256E0,9.890842734E0
