"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.383239250E-1,6.155970097E0,-2.060433626E0,6.903935432E0,9.476585831E0
3.407296020E-1,6.230186939E0,-2.041280746E0,7.308538437E0,9.818186720E0
3.431354350E-1,6.330739021E0,-2.038886547E0,7.054763794E0,9.695617933E0
3.455416850E-1,6.426503181E0,-1.988610506E0,6.824930191E0,9.583015548E0
3.479471540E-1,6.512690544E0,-1.971851707E0,7.315720558E0,9.991151313E0
3.503520500E-1,6.622818947E0,-1.938334346E0,6.705225468E0,9.621793981E0
3.527578310E-1,6.673095226E0,-1.914393306E0,7.284597397E0,1.006282569E1
3.551634560E-1,6.761677265E0,-1.888058305E0,7.057157993E0,9.954321802E0
3.575689250E-1,6.809558868E0,-1.878481984E0,7.035610676E0,9.969884860E0
3.599751230E-1,6.874199867E0,-1.859329104E0,7.495277882E0,1.033880646E1
3.623815810E-1,6.919687748E0,-1.828205824E0,6.913511753E0,9.950932611E0
3.647883000E-1,6.934051991E0,-1.852146864E0,7.562313080E0,1.042593421E1
3.671946020E-1,6.981934071E0,-1.825811744E0,7.152921677E0,1.016096848E1
3.696001750E-1,6.962780952E0,-1.832994103E0,7.169680595E0,1.016093036E1
3.720064770E-1,6.984328270E0,-1.840176344E0,7.416272640E0,1.035220702E1
3.744127270E-1,6.981934071E0,-1.823417544E0,6.808171272E0,9.920859387E0
3.768185600E-1,6.922081470E0,-1.823417544E0,7.416272640E0,1.030733541E1
3.792246020E-1,6.934051991E0,-1.797082543E0,6.894359112E0,9.941970139E0
3.816307480E-1,6.886170387E0,-1.794688463E0,7.057157993E0,1.002216185E1
3.840371020E-1,6.845469952E0,-1.799476743E0,7.270232201E0,1.014666702E1
3.864431430E-1,6.833499432E0,-1.792294383E0,6.760289192E0,9.778064410E0
3.888485600E-1,6.785618305E0,-1.830599904E0,7.430637360E0,1.022790709E1
3.912545500E-1,6.771253109E0,-1.821023583E0,6.918299675E0,9.850323139E0
3.936600700E-1,6.718583107E0,-1.828205824E0,7.236715317E0,1.004249690E1
3.960651230E-1,6.723371029E0,-1.828205824E0,7.356420517E0,1.013227405E1
3.984706950E-1,6.704218864E0,-1.830599904E0,6.947029591E0,9.826437133E0
4.008764770E-1,6.677883625E0,-1.832994103E0,7.567101002E0,1.025743704E1
4.032827270E-1,6.668307304E0,-1.816235304E0,6.961393833E0,9.809487096E0
4.056884040E-1,6.622818947E0,-1.852146864E0,7.363602161E0,1.007545610E1
4.080935600E-1,6.630001545E0,-1.835388064E0,7.301355839E0,1.003171804E1
4.104995500E-1,6.637183666E0,-1.823417544E0,6.956605911E0,9.786287568E0
4.129050180E-1,6.632395744E0,-1.840176344E0,7.547947884E0,1.021501050E1
4.153101230E-1,6.644366264E0,-1.785112023E0,6.875206470E0,9.726391520E0
4.177157480E-1,6.641972065E0,-1.816235304E0,7.267838478E0,1.001179203E1
4.201214250E-1,6.663518429E0,-1.797082543E0,7.093069553E0,9.896646867E0
4.225276750E-1,6.675488949E0,-1.785112023E0,6.841689110E0,9.724067437E0
4.249335600E-1,6.627607346E0,-1.801870704E0,7.303750038E0,1.002580080E1
4.273391330E-1,6.692248344E0,-1.758776903E0,6.602278709E0,9.563972410E0
4.297456950E-1,6.637183666E0,-1.797082543E0,7.114616394E0,9.894416563E0
4.321518930E-1,6.663518429E0,-1.768353343E0,6.875206470E0,9.736427240E0
4.345574140E-1,6.620425224E0,-1.773141623E0,6.767471790E0,9.631860454E0
4.369632480E-1,6.613242626E0,-1.765959263E0,7.205591679E0,9.938518078E0
4.393692370E-1,6.620425224E0,-1.751594663E0,6.580732346E0,9.497586652E0
4.417756430E-1,6.577331066E0,-1.761171103E0,7.200803757E0,9.910327056E0
4.441817370E-1,6.586907864E0,-1.744412303E0,6.810565948E0,9.634009447E0
4.465874140E-1,6.596484184E0,-1.744412303E0,6.800989151E0,9.633796308E0
4.489934560E-1,6.589301586E0,-1.718077302E0,7.152921677E0,9.875979623E0
4.513989770E-1,6.579725742E0,-1.708500981E0,6.537638187E0,9.431462215E0
4.538043410E-1,6.524661064E0,-1.713289022E0,7.164892197E0,9.840845567E0
4.562101230E-1,6.522267342E0,-1.679771662E0,6.705225468E0,9.503770446E0
4.586158000E-1,6.481567383E0,-1.706106782E0,6.827324390E0,9.567333715E0
4.610217890E-1,6.462414742E0,-1.696530461E0,7.069128513E0,9.726952135E0
4.634272060E-1,6.462414742E0,-1.667801261E0,6.518485546E0,9.329256088E0
4.658323100E-1,6.450444221E0,-1.660618901E0,7.167286396E0,9.784471374E0
4.682383000E-1,6.457626343E0,-1.629495621E0,6.664525986E0,9.421894744E0
4.706438200E-1,6.438473701E0,-1.653436542E0,6.899147511E0,9.580502720E0
4.730486640E-1,6.450444221E0,-1.612736940E0,7.066734314E0,9.702983302E0
4.754539770E-1,6.462414742E0,-1.612736940E0,6.619038105E0,9.390175194E0
4.778598100E-1,6.419320583E0,-1.593584180E0,7.272626877E0,9.830477556E0
4.802663730E-1,6.424108982E0,-1.555278540E0,6.736348152E0,9.437502529E0
4.826725180E-1,6.414532661E0,-1.572037220E0,7.105040073E0,9.700470336E0
4.850781430E-1,6.443261623E0,-1.536125779E0,7.160103798E0,9.754096019E0
4.874842890E-1,6.452837944E0,-1.524155378E0,6.800989151E0,9.498190385E0
4.898898100E-1,6.452837944E0,-1.524155378E0,7.397119999E0,9.933758172E0
4.922953310E-1,6.491143703E0,-1.502608418E0,6.743530750E0,9.479872658E0
4.947011120E-1,6.479173183E0,-1.509790659E0,7.114616394E0,9.740478397E0
4.971067370E-1,6.519873142E0,-1.488243818E0,7.004487991E0,9.684341355E0
4.995126230E-1,6.546208382E0,-1.493031979E0,6.652555466E0,9.451903665E0
5.019180390E-1,6.541419506E0,-1.519367099E0,7.136162758E0,9.799156313E0
5.043234040E-1,6.577331066E0,-1.497820258E0,6.408356667E0,9.304395985E0
5.067294450E-1,6.534237862E0,-1.543308139E0,6.875206470E0,9.609710113E0
5.091350700E-1,6.541419506E0,-1.528943419E0,6.616643906E0,9.429094003E0
5.115401750E-1,6.515084743E0,-1.545702219E0,6.391598225E0,9.256784130E0
5.139458520E-1,6.488749504E0,-1.579219580E0,6.872812271E0,9.582972040E0
5.163516850E-1,6.471991062E0,-1.569643259E0,6.204858780E0,9.102237129E0
5.187577790E-1,6.400167942E0,-1.600766420E0,6.733954430E0,9.427128146E0
5.211634560E-1,6.378621101E0,-1.598372340E0,6.391598225E0,9.170285119E0
5.235689250E-1,6.309192181E0,-1.641466022E0,6.300622940E0,9.066320428E0
5.259752270E-1,6.261310101E0,-1.691742182E0,6.686072350E0,9.315017941E0
5.283809560E-1,6.218216419E0,-1.663012981E0,6.032483578E0,8.821716711E0
5.307863730E-1,6.153575420E0,-1.698924422E0,6.609461308E0,9.189005029E0
5.331921020E-1,6.153575420E0,-1.708500981E0,6.185705662E0,8.890917871E0
5.355978830E-1,6.096117496E0,-1.734835982E0,6.247952461E0,8.899955864E0
5.380042890E-1,6.081752777E0,-1.739624262E0,6.573549747E0,9.122804706E0
5.404100180E-1,6.084146976E0,-1.720471382E0,6.006148338E0,8.720704333E0
5.428151230E-1,6.041053295E0,-1.734835982E0,6.688467026E0,9.178211806E0
5.452209040E-1,6.086541176E0,-1.722865462E0,6.243164539E0,8.887707936E0
5.476261120E-1,6.081752777E0,-1.730047822E0,6.480179787E0,9.053922486E0
5.500307480E-1,6.127240658E0,-1.720471382E0,6.753107548E0,9.279416006E0
5.524359560E-1,6.148787498E0,-1.708500981E0,6.257528782E0,8.937741871E0
5.548415290E-1,6.194275856E0,-1.739624262E0,6.932664871E0,9.458181018E0
5.572476230E-1,6.237369061E0,-1.701318622E0,6.420327187E0,9.111523420E0
5.596533520E-1,6.270886421E0,-1.737230062E0,6.695648670E0,9.336685489E0
5.620588200E-1,6.328345299E0,-1.710894942E0,6.853659153E0,9.484079265E0
5.644650700E-1,6.383409023E0,-1.720471382E0,6.429903984E0,9.222342315E0
5.668709560E-1,6.404956341E0,-1.758776903E0,7.090675354E0,9.715680053E0
5.692764250E-1,6.455232143E0,-1.732441783E0,6.501727104E0,9.324367640E0
5.716820500E-1,6.467202663E0,-1.775535703E0,6.894359112E0,9.618181995E0
5.740876230E-1,6.495932102E0,-1.799476743E0,6.918299675E0,9.659095238E0
5.764938730E-1,6.527055264E0,-1.828205824E0,6.599884987E0,9.460616723E0
5.788998620E-1,6.548602104E0,-1.837782264E0,7.224744797E0,9.922629215E0
5.813051230E-1,6.622818947E0,-1.847358584E0,6.633402348E0,9.553873102E0
5.837113730E-1,6.637183666E0,-1.885664225E0,7.095463276E0,9.897147856E0
5.861177270E-1,6.680277824E0,-1.900028825E0,6.985334873E0,9.850437789E0
5.885234040E-1,6.725765705E0,-1.931152105E0,6.731560230E0,9.709746439E0
5.909292890E-1,6.737736225E0,-1.950304866E0,7.279808998E0,1.010922339E1
5.933351230E-1,6.819135189E0,-1.957487226E0,6.647767067E0,9.722405461E0
5.957414770E-1,6.826317787E0,-2.031704187E0,7.152921677E0,1.009409357E1
5.981476230E-1,6.886170387E0,-2.007763147E0,6.930270195E0,9.973921016E0
6.005529350E-1,6.871805668E0,-2.026916027E0,6.800989151E0,9.878438902E0
6.029587680E-1,6.895746708E0,-2.043674707E0,7.286991596E0,1.023856316E1
6.053644450E-1,6.886170387E0,-2.046068907E0,6.690860748E0,9.816993334E0
6.077697060E-1,6.874199867E0,-2.072404146E0,7.294173241E0,1.023496195E1
6.101752790E-1,6.895746708E0,-2.074798107E0,6.913511753E0,9.982622632E0
6.125811120E-1,6.864623070E0,-2.089162588E0,6.937452793E0,9.980776596E0
6.149874140E-1,6.845469952E0,-2.108315468E0,7.339661598E0,1.025553925E1
6.173931430E-1,6.850258827E0,-2.103527308E0,6.745924950E0,9.841665335E0
6.197986120E-1,6.809558868E0,-2.127468348E0,7.387543201E0,1.026995658E1
6.222049140E-1,6.797588825E0,-2.103527308E0,6.961393833E0,9.954548964E0
6.246108000E-1,6.780829430E0,-2.110709667E0,7.054763794E0,1.001021654E1
6.270162680E-1,6.788012028E0,-2.093950987E0,7.327691078E0,1.020572362E1
6.294219450E-1,6.778435707E0,-2.081980467E0,6.772259712E0,9.805372757E0
6.318276750E-1,6.725765705E0,-2.108315468E0,7.401907921E0,1.022101557E1
6.342338200E-1,6.723371029E0,-2.084374666E0,6.870418549E0,9.836207947E0
6.366394980E-1,6.687459469E0,-2.108315468E0,7.059551716E0,9.950094406E0
6.390449660E-1,6.661124706E0,-2.067615747E0,7.210380554E0,1.003170997E1
6.414511120E-1,6.622818947E0,-2.065221786E0,6.729166508E0,9.664810072E0
6.438566850E-1,6.584513664E0,-2.074798107E0,7.358814240E0,1.009023064E1
6.462621020E-1,6.572543144E0,-2.058039427E0,6.784230232E0,9.667452069E0
6.486680390E-1,6.570148945E0,-2.101133108E0,6.894359112E0,9.752630674E0
6.510738200E-1,6.531843662E0,-2.060433626E0,7.248685837E0,9.972653344E0
6.534798100E-1,6.524661064E0,-2.060433626E0,7.148133278E0,9.895069383E0
6.558854870E-1,6.507902622E0,-2.055645227E0,7.102645874E0,9.850180316E0
6.582908000E-1,6.486355782E0,-2.043674707E0,7.155315876E0,9.871573477E0
6.606968410E-1,6.462414742E0,-2.043674707E0,7.121798515E0,9.831552507E0
6.631025700E-1,6.448050022E0,-2.041280746E0,7.155315876E0,9.845949495E0
6.655079870E-1,6.421715260E0,-2.067615747E0,7.162498474E0,9.839453549E0
6.679137680E-1,6.404956341E0,-2.060433626E0,7.188833237E0,9.846226473E0
6.703198620E-1,6.421715260E0,-2.048463106E0,7.191227436E0,9.856387777E0
6.727265810E-1,6.392985821E0,-2.031704187E0,7.203197956E0,9.842974673E0
6.751330390E-1,6.381015301E0,-2.043674707E0,7.219956398E0,9.849961064E0
6.775389250E-1,6.390591621E0,-2.026916027E0,7.217562199E0,9.850951931E0
6.799454870E-1,6.414532661E0,-2.041280746E0,7.246292114E0,9.890490673E0
6.823513730E-1,6.426503181E0,-2.031704187E0,7.253473759E0,9.901547688E0
6.847565810E-1,6.457626343E0,-2.017339706E0,7.275021076E0,9.934612682E0
6.871621540E-1,6.483961582E0,-2.029310226E0,7.265444279E0,9.947187460E0
6.895676230E-1,6.517478466E0,-2.019733667E0,7.291779518E0,9.986335573E0
6.919736120E-1,6.558178425E0,-2.014945745E0,7.320508957E0,1.003292390E1
6.943792890E-1,6.582119465E0,-2.010157347E0,7.349237919E0,1.006858119E1
6.967844450E-1,6.596484184E0,-2.005369186E0,7.361208439E0,1.008575723E1
6.991905390E-1,6.627607346E0,-2.007763147E0,7.365996361E0,1.011010358E1
7.015962160E-1,6.651548386E0,-2.010157347E0,7.363602161E0,1.012454766E1
7.040012160E-1,6.649154186E0,-1.993398666E0,7.351631641E0,1.011095334E1
7.064067370E-1,6.637183666E0,-2.014945745E0,7.363602161E0,1.011606891E1
7.088124140E-1,6.646759987E0,-2.002975225E0,7.358814240E0,1.011649520E1
7.112185600E-1,6.649154186E0,-2.036492586E0,7.339661598E0,1.011084496E1
7.136241850E-1,6.615637302E0,-2.029310226E0,7.313326359E0,1.006824212E1
7.160296020E-1,6.606060505E0,-2.036492586E0,7.344449997E0,1.008604398E1
7.184358000E-1,6.579725742E0,-2.031704187E0,7.332479477E0,1.005911865E1
7.208412160E-1,6.560572624E0,-2.041280746E0,7.301355839E0,1.002585345E1
7.232461640E-1,6.548602104E0,-2.024522066E0,7.310932159E0,1.002160706E1
7.256515810E-1,6.562966824E0,-2.014945745E0,7.298962116E0,1.002034869E1
7.280572580E-1,6.536631584E0,-1.986216307E0,7.291779518E0,9.992129714E0
7.304635600E-1,6.531843662E0,-1.998186827E0,7.258262157E0,9.966950475E0
7.328692890E-1,6.534237862E0,-1.983822227E0,7.200803757E0,9.923879776E0
7.352745500E-1,6.522267342E0,-1.971851707E0,7.193621159E0,9.908398246E0
7.376809560E-1,6.543814182E0,-1.947910786E0,7.155315876E0,9.890116570E0
7.400868410E-1,6.558178425E0,-1.911999345E0,7.121798515E0,9.868407158E0
7.424923100E-1,6.572543144E0,-1.914393306E0,7.102645874E0,9.864623841E0
7.448984560E-1,6.603666782E0,-1.916787505E0,7.105040073E0,9.887572187E0
7.473046540E-1,6.584513664E0,-1.878481984E0,7.095463276E0,9.860533143E0
7.497111120E-1,6.620425224E0,-1.883270025E0,7.064340591E0,9.863145752E0
7.521169980E-1,6.644366264E0,-1.844964623E0,7.061945915E0,9.870287616E0
7.545223100E-1,6.646759987E0,-1.854540944E0,7.054763794E0,9.868557778E0
7.569285600E-1,6.661124706E0,-1.844964623E0,7.071522236E0,9.888422703E0
7.593343410E-1,6.644366264E0,-1.840176344E0,7.023640156E0,9.842020782E0
7.617397060E-1,6.634789467E0,-1.832994103E0,7.011670113E0,9.825671296E0
7.641456950E-1,6.618031025E0,-1.832994103E0,7.006881714E0,9.810942533E0
7.665519450E-1,6.627607346E0,-1.847358584E0,7.016458511E0,9.826932528E0
7.689585080E-1,6.625213146E0,-1.835388064E0,7.006881714E0,9.816236037E0
7.713642890E-1,6.584513664E0,-1.854540944E0,7.006881714E0,9.792422257E0
7.737697580E-1,6.577331066E0,-1.849752665E0,6.999699593E0,9.781547079E0
7.761762160E-1,6.570148945E0,-1.854540944E0,7.006881714E0,9.782769067E0
7.785825180E-1,6.567755222E0,-1.868905425E0,7.023640156E0,9.795904103E0
7.809883000E-1,6.567755222E0,-1.897634745E0,7.066734314E0,9.832352727E0
7.833942370E-1,6.601272106E0,-1.892846465E0,7.095463276E0,9.874475189E0
7.858001230E-1,6.582119465E0,-1.892846465E0,7.100251198E0,9.865127037E0
