"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.435501050E-1,-1.404988766E-2,7.693811506E-2,8.552104235E-3,7.867662537E-2
6.459951570E-1,-1.649334654E-2,8.610107750E-2,1.038469747E-2,8.827948781E-2
6.484409380E-1,-1.099556312E-2,9.831837565E-2,1.527161431E-2,1.001030849E-1
6.508859900E-1,-1.099556312E-2,1.025944278E-1,1.832593977E-2,1.047967513E-1
6.533302090E-1,-7.941240445E-3,1.068704799E-1,2.138026431E-2,1.092770720E-1
6.557752610E-1,-4.886916373E-3,1.074813381E-1,2.382372320E-2,1.101984109E-1
6.582210420E-1,-7.330375258E-3,1.025944278E-1,2.626718208E-2,1.061570340E-1
6.606660950E-1,-1.221728045E-3,9.709664434E-2,2.809977531E-2,1.010883195E-1
6.631103130E-1,-5.497781094E-3,8.854454011E-2,2.809977531E-2,9.305889830E-2
6.655553650E-1,-6.108633243E-4,7.999243587E-2,2.871064097E-2,8.499096338E-2
6.680011470E-1,-1.221728045E-3,6.838599592E-2,2.993236855E-2,7.465978666E-2
6.704461990E-1,2.443460282E-3,5.861216411E-2,3.115409985E-2,6.642239244E-2
6.728904170E-1,2.443460282E-3,4.883832857E-2,2.871064097E-2,5.670497104E-2
6.753354170E-1,3.665189724E-3,3.906449303E-2,2.809977531E-2,4.826039374E-2
6.777812510E-1,5.497783888E-3,3.173412010E-2,2.687804401E-2,4.194888861E-2
6.802263030E-1,1.832595561E-3,2.623633668E-2,2.260199189E-2,3.467785758E-2
6.826705220E-1,4.276054446E-3,2.562547103E-2,2.260199189E-2,3.443543879E-2
6.851155220E-1,1.396983862E-9,2.501460537E-2,1.893680543E-2,3.137408296E-2
6.875613550E-1,4.886919167E-3,2.929066122E-2,1.771507412E-2,3.457815300E-2
6.900063550E-1,6.108661182E-4,3.234498575E-2,1.771507412E-2,3.688353443E-2
6.924506260E-1,3.665189724E-3,3.967535868E-2,1.893680543E-2,4.411542023E-2
6.948956260E-1,1.832595561E-3,4.517314211E-2,1.893680543E-2,4.901605629E-2
6.973414590E-1,1.832595561E-3,5.128179118E-2,1.954766735E-2,5.491167282E-2
6.997864590E-1,3.054325003E-3,6.105562672E-2,2.076939866E-2,6.456381631E-2
7.022307300E-1,-1.221728045E-3,6.899686903E-2,2.260199189E-2,7.261480973E-2
7.046757300E-1,-1.221728045E-3,7.754897326E-2,2.626718208E-2,8.188590067E-2
7.071215630E-1,-7.330375258E-3,8.487934619E-2,2.993236855E-2,9.030052324E-2
7.095665630E-1,-6.108645815E-3,9.282059222E-2,3.420842439E-2,9.911202850E-2
7.120107820E-1,-1.343902200E-2,9.892923385E-2,3.787361085E-2,1.067801996E-1
7.144558340E-1,-1.160642877E-2,1.074813381E-1,4.276052862E-2,1.162557957E-1
7.169016670E-1,-1.343902200E-2,1.105356589E-1,4.703658074E-2,1.208767104E-1
7.193466670E-1,-1.282815821E-2,1.172551736E-1,5.070177093E-2,1.283900579E-1
7.217908860E-1,-1.343902200E-2,1.184769049E-1,5.497782305E-2,1.313009724E-1
7.242359380E-1,-1.588248275E-2,1.215312257E-1,5.681041628E-2,1.350907676E-1
7.266817720E-1,-1.099556312E-2,1.239746884E-1,5.803214759E-2,1.373257292E-1
7.291267720E-1,-1.527161710E-2,1.227529570E-1,5.986474082E-2,1.374237896E-1
7.315709900E-1,-1.038469933E-2,1.245855466E-1,6.108646840E-2,1.391436560E-1
7.340160420E-1,-1.099556312E-2,1.215312257E-1,5.864301324E-2,1.353873858E-1
7.364618240E-1,-6.108645815E-3,1.209203675E-1,5.803214759E-2,1.342638484E-1
7.389068760E-1,-4.886916373E-3,1.172551736E-1,5.375609547E-2,1.290828242E-1
7.413510950E-1,-6.108645815E-3,1.166443154E-1,5.070177093E-2,1.273337404E-1
7.437961470E-1,-7.330375258E-3,1.142008528E-1,4.764744639E-2,1.239590591E-1
7.462419280E-1,-7.330375258E-3,1.117573902E-1,4.337139428E-2,1.201021503E-1
7.486869800E-1,-6.108645815E-3,1.080922112E-1,3.787361085E-2,1.146980910E-1
7.511311990E-1,-4.886916373E-3,1.056487486E-1,3.420842439E-2,1.111564498E-1
7.535762510E-1,-4.886916373E-3,1.038161591E-1,2.993236855E-2,1.081555524E-1
7.560220320E-1,-3.054322209E-3,9.831837565E-2,2.687804401E-2,1.019718644E-1
7.584670840E-1,-3.665186930E-3,9.648577124E-2,2.260199189E-2,9.916545610E-2
7.609113030E-1,-2.443457488E-3,9.526403993E-2,1.954766735E-2,9.727959235E-2
7.633563030E-1,-2.443457488E-3,8.915539831E-2,1.588248089E-2,9.059199044E-2
7.658021360E-1,1.396983862E-9,8.304675668E-2,1.404988673E-2,8.422685506E-2
7.682471880E-1,3.054325003E-3,7.449465245E-2,1.038469747E-2,7.527698245E-2
7.706914070E-1,7.330378052E-3,6.533167511E-2,7.330374327E-3,6.614904839E-2
7.731364070E-1,1.221729629E-2,5.006005988E-2,6.108644884E-3,5.189014806E-2
7.755822400E-1,1.527161896E-2,3.478844091E-2,5.497780163E-3,3.838858624E-2
7.780272400E-1,1.893680915E-2,1.890596002E-2,6.719509605E-3,2.758966971E-2
7.804715110E-1,2.321286127E-2,1.190881478E-3,6.719509605E-3,2.419518416E-2
7.829165110E-1,2.504545450E-2,-1.652419381E-2,9.162968025E-3,3.137329685E-2
7.853623450E-1,2.748891339E-2,-3.240667656E-2,1.038469747E-2,4.374557105E-2
7.878073970E-1,2.687805146E-2,-4.401310533E-2,1.466075052E-2,5.361455676E-2
7.902516150E-1,2.932151034E-2,-5.684126541E-2,1.771507412E-2,6.636643936E-2
7.926966150E-1,3.054323792E-2,-6.050645560E-2,2.199112624E-2,7.125679045E-2
7.951424490E-1,2.993237227E-2,-6.294991076E-2,2.565631643E-2,7.427573458E-2
7.975874490E-1,2.993237227E-2,-5.989558995E-2,3.115409985E-2,7.385124605E-2
8.000317200E-1,2.993237227E-2,-5.134348199E-2,3.420842439E-2,6.857343765E-2
8.024767200E-1,2.748891339E-2,-4.156964645E-2,3.787361085E-2,6.259461849E-2
8.049225530E-1,2.687805146E-2,-2.935235202E-2,4.214966297E-2,5.797054690E-2
8.073675530E-1,2.687805146E-2,-1.713505760E-2,4.581485316E-2,5.581254894E-2
8.098118240E-1,2.504545450E-2,-9.193818085E-3,4.764744639E-2,5.460842636E-2
8.122568240E-1,2.565632015E-2,-3.084616037E-5,5.009090528E-2,5.627918360E-2
8.147026570E-1,2.748891339E-2,4.245205782E-3,5.070177093E-2,5.783019719E-2
8.171476570E-1,2.809977904E-2,4.245205782E-3,5.131263286E-2,5.865667605E-2
8.195918760E-1,2.871064469E-2,2.412612783E-3,5.009090528E-2,5.778598974E-2
8.220369280E-1,2.748891339E-2,-2.474304987E-3,4.764744639E-2,5.506397817E-2
8.244827610E-1,2.748891339E-2,-9.804681875E-3,4.642571509E-2,5.483720605E-2
8.269277610E-1,2.565632015E-2,-1.591333002E-2,4.337139428E-2,5.284466556E-2
8.293719800E-1,2.443459257E-2,-2.263284102E-2,3.970620409E-2,5.182545176E-2
8.318170320E-1,2.382372692E-2,-2.874148823E-2,3.359755874E-2,5.022388937E-2
8.342628650E-1,2.321286127E-2,-3.485013545E-2,2.748890966E-2,5.009000922E-2
8.367078650E-1,2.382372692E-2,-4.034791887E-2,2.443458512E-2,5.284480553E-2
